이름,점수,어근
불편하다,-2,불편하다
견고하다,2,견고하다
폭신하다,2,폭신하다
푹신하다,2,푹신하다
푹신푹신,2,푹신푹신
거칠다,-1,거칠다
까다롭다,-1,까다롭다
가늘다,-2,가늘다
약하다,-2,약하다
빠지다,-1,빠지다
소리,-1,소리
넓다,1,넓다
널찍하다,1,널찍하다
나오다,-1,나오다
말썽,-2,말썽
깔끔하다,2,깔끔하다
미흡하다,-1,미흡하다
쓸다,1,쓸다
편하다,2,편하다
편안하다,2,편안하다
냄새,-1,냄새
딱딱하다,-1,딱딱하다
오염,-2,오염
닦다,-1,닦다
문지르다,-1,문지르다
찍히다,-2,찍히다
나서다,-1,나서다
버리다,-1,버리다
무겁다,-1,무겁다
꺼지다,-2,꺼지다
아프다,-1,아프다
쑤시다,-1,쑤시다
시리다,-1,시리다
수평,-1,수평
나사,-1,나사
불량,-2,불량
허리,-1,허리
고정,-1,고정
구멍,-2,구멍
흠집,-1,흠집
흔들리다,-2,흔들리다
덜렁거리다,-2,덜렁거리다
넉넉하다,1,넉넉하다
하자,-2,하자
스크래치,-1,스크래치
가볍다,1,가볍다
먼지,-1,먼지
생기다,-1,생기다
붙이다,-1,붙이다
흔들다,-2,흔들다
벗겨지다,-2,벗겨지다
얄팍하다,-1,얄팍하다
얇다,-1,얇다
단단하다,2,단단하다
환기,-1,환기
뜨다,-1,뜨다
불안하다,-2,불안하다
움직이다,-2,움직이다
손상,-2,손상
파손,-2,파손
찍다,-2,찍다
나약하다,-2,나약하다
부실하다,-2,부실하다
부족하다,-1,부족하다
손쉽다,1,손쉽다
쉽다,1,쉽다
실용,2,실용
편리하다,2,편리하다
어긋나다,-1,어긋나다
갈라지다,-2,갈라지다
터지다,-2,터지다
벌어지다,-2,벌어지다
이염,-1,이염
탄탄하다,2,탄탄하다
깊숙하다,1,깊숙하다
깊다,1,깊다
훌륭하다,2,훌륭하다
튀어나오다,-2,튀어나오다
볼트,-1,볼트
고장,-2,고장
가루,-1,가루
만해,0,만해
빡빡,-1,빡빡
뻑뻑,-1,뻑뻑
거치다,-1,거치다
거슬리다,-1,거슬리다
삐거덕,-2,삐거덕
삐걱,-2,삐걱
발견,-1,발견
간단하다,1,간단하다
간편하다,1,간편하다
묵직하다,1,묵직하다
삐,-2,삐
심해,-2,심해
지저분하다,-1,지저분하다
틈새,-1,틈새
틈,-1,틈
깨다,-2,깨다
망가지다,-2,망가지다
부서지다,-2,부서지다
무너지다,-2,무너지다
품질 개선,-1,품질 개선
지지,-1,지지
지탱,-1,지탱
본드,-1,본드
접착제,-1,접착제
부러지다,-2,부러지다
비지 떡,-2,비지 떡
균형,-1,균형
밸런스,-1,밸런스
늘어나다,-1,늘어나다
찢어지다,-1,찢어지다
안정감,2,안정감
아세톤,-1,아세톤
지우다,-1,지우다
상처,-1,상처
곳곳,-1,곳곳
군데군데,-1,군데군데
소음,-1,소음
날카롭다,-1,날카롭다
뾰족하다,-1,뾰족하다
따갑다,-2,따갑다
가렵다,-1,가렵다
삐뚤다,-2,삐뚤다
틀어지다,-2,틀어지다
반들반들하다,2,반들반들하다
반들하다,2,반들하다
매끄럽다,2,매끄럽다
울퉁불퉁,-2,울퉁불퉁
싸구려,-2,싸구려
유용하다,2,유용하다
깨지다,-2,깨지다
넘어지다,-1,넘어지다
고꾸라지다,-1,고꾸라지다
쓰러지다,-1,쓰러지다
내려앉다,-2,내려앉다
아슬하다,-1,아슬하다
가라앉다,-2,가라앉다
주저앉다,-2,주저앉다
홈,-1,홈
들뜨다,-1,들뜨다
수월하다,1,수월하다
용이하다,2,용이하다
편안함,2,편안함
복불복,-1,복불복
칠하다,-1,칠하다
찌그러지다,-2,찌그러지다
으그러지다,-2,으그러지다
주름,-1,주름
보풀,-1,보풀
구김,-1,구김
보푸라기,-1,보푸라기
파이다,-1,파이다
비뚤어지다,-2,비뚤어지다
삐뚤어지다,-2,삐뚤어지다
녹슬다,-2,녹슬다
뒤틀리다,-2,뒤틀리다
헐겁다,-2,헐겁다
느슨하다,-1,느슨하다
헐렁하다,-1,헐렁하다
시끄럽다,-1,시끄럽다
탈취,-1,탈취
곰팡이,-2,곰팡이
뿌리다,-1,뿌리다
휘청거리다,-1,휘청거리다
휘청,-1,휘청
휘청휘청,-1,휘청휘청
덜컹덜컹,-1,덜컹덜컹
덜컹,-1,덜컹
스프링,-1,스프링
휘,-2,휘
헐떡이다,-1,헐떡이다
물질,-1,물질
두통,-1,두통
미세하다,-1,미세하다
너덜너덜,-1,너덜너덜
거칠거칠하다,-2,거칠거칠하다
거칠하다,-2,거칠하다
꿀잠,2,꿀잠
골칫거리,-1,골칫거리
스티커,-1,스티커
살펴보다,-1,살펴보다
움푹,-1,움푹
까지다,-2,까지다
딴딴하다,1,딴딴하다
사포,-1,사포
제거,-1,제거
